CustomerID,Recency,Frequency,Monetary
12346,263,1,77183
12747,4,9,3444
12748,1,144,20082
12749,68,3,2755
12820,12,2,388
12821,152,1,92
12822,8,2,948
12823,12,5,1759
12826,9,5,1052
12828,3,4,661
12829,274,2,293
12830,29,5,6414
12831,200,1,215
12832,36,1,267
12833,83,1,417
12834,220,1,312
12836,75,3,2112
12837,111,1,134
12838,311,1,390
12839,9,10,3376
12840,81,4,2726
12841,3,19,3268
12842,8,2,1119
12843,3,8,1702
12844,68,1,174
12845,205,4,354
12849,206,1,704
12851,34,1,135
12852,232,1,311
12853,72,6,1957
12854,16,3,1324
12855,310,1,38
12856,1,1,393
12857,148,2,1106
12864,76,1,147
12867,34,6,3025
12868,123,6,1607
12871,22,2,380
12872,264,2,600
12873,220,1,374
12875,81,2,343
12877,16,10,1160
12878,174,2,855
12879,19,2,507
12881,213,1,298
12883,27,1,291
12884,26,1,309
12885,1,3,1175
12886,5,2,1378
12888,152,2,354
12891,123,3,331
12895,24,1,267
12897,142,2,216
12901,19,20,13159
12902,202,1,138
12904,110,1,244
12906,16,2,1936
12908,114,2,750
12909,25,4,1857
12910,2,6,2616
12913,220,3,866
12915,86,2,363
12916,76,4,3006
12917,66,1,594
12919,54,3,441
12921,22,27,11396
12922,99,1,405
12923,2,1,177
12924,26,4,933
12925,12,1,368
12928,85,3,1136
12929,249,1,117
12930,16,2,415
12931,5,12,34440
12933,109,2,357
12935,47,4,1535
12936,16,1,798
12937,9,3,826
12939,2,8,11581
12940,25,1,361
12942,69,3,683
12944,292,1,287
12945,226,1,463
12947,81,6,1604
12948,43,4,1424
12949,52,7,3449
12951,111,5,751
12952,16,1,731
12955,30,6,1843
12956,244,1,108
12957,9,6,2640
12962,51,1,170
12963,22,2,619
12965,27,1,771
12967,296,2,1660
12968,50,1,136
12970,260,2,23
12971,3,69,8988
12974,135,1,144
12976,149,1,738
12977,94,1,39
12980,95,9,7374
12981,71,1,187
12982,180,1,390
12987,11,2,558
12988,230,1,535
12989,4,11,5957
12990,123,2,263
12991,50,1,303
12993,58,3,372
12994,58,2,645
12995,23,1,211
12997,26,3,916
12999,134,3,455
13000,44,3,534
13001,96,11,8615
13002,256,1,121
13003,43,3,149
13004,1,15,4609
13005,111,2,513
13008,261,1,229
13011,310,1,50
13012,16,5,1205
13013,2,10,3902
13014,12,6,2421
13015,135,4,1763
13016,11,3,789
13018,2,22,6090
13021,8,6,1619
13023,2,2,689
13026,30,3,604
13027,51,6,6912
13029,76,2,773
13030,306,1,427
13032,25,1,496
13033,295,1,190
13034,307,1,165
13035,11,2,921
13037,76,3,881
13038,18,3,908
13043,211,1,516
13044,229,1,560
13045,37,1,305
13046,204,1,197
13047,65,8,2682
13048,51,3,1375
13049,2,2,656
13050,44,13,4509
13052,150,1,348
13055,16,3,1214
13058,89,1,47
13059,187,1,183
13060,191,1,307
13061,10,1,248
13062,129,1,347
13064,26,3,842
13065,311,1,205
13067,20,1,115
13068,257,1,165
13069,37,20,3874
13070,130,1,228
13072,204,1,177
13075,67,1,919
13077,228,3,577
13078,2,19,9172
13079,13,3,172
13080,117,1,58
13081,81,8,18870
13082,64,9,3613
13083,13,1,192
13085,95,2,416
13089,2,81,46757
13090,2,10,5814
13092,8,5,477
13093,213,8,7832
13094,18,11,1774
13095,8,1,74
13097,15,9,5479
13098,25,19,17349
13099,37,1,207
13101,172,1,101
13102,19,20,5292
13104,23,4,579
13106,71,1,76
13107,23,3,1407
13108,310,1,350
13109,95,1,369
13110,75,5,1042
13113,51,20,10787
13115,122,1,878
13116,76,1,501
13117,59,7,841
13118,146,3,799
13120,176,1,30
13121,207,1,283
13122,32,2,922
13124,27,3,3866
13126,10,6,1386
13127,15,1,259
13130,32,1,64
13131,9,2,772
13132,199,1,77
13133,211,2,109
13134,23,4,1793
13135,134,1,3096
13136,25,4,2148
13137,30,5,1931
13138,18,4,687
13139,10,4,3584
13140,46,3,423
13141,22,5,2388
13144,270,1,111
13145,29,3,499
13147,37,1,118
13148,71,10,2789
13149,44,3,1132
13151,233,1,1257
13155,17,3,882
13157,79,3,873
13158,32,4,1201
13159,44,2,851
13161,251,1,112
13162,60,4,1688
13165,289,1,354
13166,221,1,417
13167,5,3,659
13168,137,3,972
13169,1,2,712
13171,237,1,140
13173,305,1,165
13174,254,2,2108
13177,2,1,282
13178,11,9,5156
13183,24,7,3085
13184,68,9,1504
13185,205,1,71
13186,31,2,1301
13187,275,1,236
13189,53,1,127
13192,33,2,911
13194,73,1,60
13196,22,2,1587
13198,58,5,3009
13199,2,24,5270
13200,12,2,627
13203,58,2,309
13207,88,1,197
13208,93,4,835
13209,66,5,4156
13210,31,1,353
13211,33,2,886
13213,66,4,963
13216,205,1,333
13217,60,3,534
13218,65,1,62
13220,16,4,819
13221,178,2,847
13223,138,2,163
13224,89,1,1212
13225,81,5,4299
13226,211,1,108
13227,139,1,257
13228,19,1,358
13229,163,1,161
13230,76,12,2234
13232,36,5,1048
13233,12,2,605
13235,150,1,1031
13236,44,1,439
13238,101,2,318
13239,199,1,329
13240,34,4,663
13242,50,3,270
13243,141,1,600
13244,30,1,121
13246,114,5,1861
13247,20,1,305
13248,62,2,465
13249,30,3,711
13253,94,2,1030
13255,311,1,225
13258,143,1,224
13261,206,2,944
13262,201,1,200
13263,4,26,5774
13265,26,4,1802
13266,13,9,2841
13267,30,15,3119
13268,22,7,2468
13269,4,11,3917
13270,304,1,590
13272,27,1,141
13273,51,1,139
13276,1,2,590
13277,54,2,125
13279,16,1,137
13280,60,3,814
13282,100,2,773
13283,123,1,25
13284,268,1,201
13285,99,3,1970
13291,93,1,361
13292,222,1,249
13294,127,2,873
13295,297,1,201
13296,75,1,87
13297,5,1,1315
13299,206,1,142
13300,107,1,371
13301,41,4,618
13302,93,1,63
13304,289,1,300
13305,30,8,1471
13307,58,1,15
13308,141,1,815
13309,26,3,928
13310,144,2,817
13311,88,1,490
13313,79,3,918
13314,1,2,589
13316,17,3,4463
13317,4,6,2273
13319,4,21,8248
13320,16,4,1548
13321,10,2,567
13323,22,1,120
13324,27,9,6437
13325,19,1,675
13327,50,7,2738
13328,254,1,1308
13329,304,1,304
13330,30,3,1140
13334,20,3,3536
13336,15,1,795
13338,95,1,487
13339,138,1,860
13340,43,5,9229
13341,198,1,775
13343,115,1,353
13344,5,3,2543
13345,225,1,389
13347,8,1,341
13348,2,1,233
13350,17,1,646
13351,4,1,373
13354,9,1,743
13355,60,1,674
13356,18,1,768
13357,195,1,610
13358,206,1,439
13359,1,1,439
13362,183,2,1581
13364,9,1,135
13365,155,1,700
13368,194,2,623
13369,303,1,308
13370,309,1,754
13372,27,1,378
13373,96,2,2055
13375,26,1,778
13376,37,3,1019
13379,6,2,435
13381,27,5,2982
13382,218,1,223
13384,11,5,3131
13385,267,1,534
13388,69,2,677
13389,12,2,580
13390,12,1,544
13391,141,1,59
13394,16,6,1846
13395,123,1,307
13396,257,1,387
13397,10,5,1544
13398,130,1,457
13402,65,2,621
13404,150,1,217
13405,12,3,572
13408,4,48,21376
13410,12,4,728
13411,45,1,213
13414,71,3,1390
13416,19,1,275
13417,143,1,236
13418,22,16,5068
13419,1,1,221
13420,87,2,159
13421,228,1,825
13422,2,1,2626
13425,46,3,1624
13426,2,7,2708
13427,58,2,464
13429,13,1,330
13430,24,1,336
13431,5,2,1269
13434,12,2,534
13435,13,4,1973
13437,37,4,2173
13439,193,1,283
13441,29,1,296
13448,18,5,2489
13450,27,5,1727
13451,64,4,2463
13452,197,2,590
13453,103,2,357
13455,304,1,692
13456,1,4,1309
13458,3,11,8176
13461,76,2,884
13462,190,1,151
13466,122,1,307
13468,3,31,4977
13470,37,2,165
13473,270,1,241
13474,174,1,229
13475,129,4,1431
13476,116,2,1238
13477,76,4,899
13479,138,2,301
13481,46,4,1361
13482,170,1,184
13483,3,1,140
13484,179,1,313
13485,171,1,454
13486,16,3,1122
13487,151,2,408
13488,10,11,7367
13489,43,4,449
13491,85,9,1088
13494,249,1,316
13495,170,3,1072
13496,297,1,501
13497,220,2,348
13499,11,3,613
13500,60,1,326
13502,212,2,189
13503,9,1,216
13504,2,1,295
13506,254,2,458
13507,36,3,2022
13508,181,1,111
13509,37,5,705
13510,33,2,897
13512,198,1,251
13513,64,1,205
13514,11,1,152
13515,10,4,891
13516,10,2,620
13517,44,2,1612
13518,23,1,659
13519,16,1,122
13523,137,3,2369
13524,19,4,483
13525,186,1,282
13527,27,6,1861
13529,16,2,307
13531,143,2,483
13533,120,3,270
13534,45,21,4371
13536,13,1,455
13538,32,6,990
13539,23,3,631
13544,178,1,122
13546,138,1,188
13548,34,2,682
13549,2,6,832
13551,257,1,91
13552,4,12,3740
13555,11,4,4149
13557,218,1,240
13558,6,1,202
13561,153,1,141
13562,19,3,1799
13563,22,2,777
13564,82,3,1749
13565,272,1,110
13566,20,1,585
13568,111,1,192
13569,305,1,118
13570,181,1,239
13571,6,8,1289
13572,143,1,1384
13573,191,1,31
13575,8,3,477
13576,9,14,5343
13577,30,3,1193
13579,307,1,164
13581,247,1,118
13583,93,1,781
13584,244,1,142
13587,1,1,712
13588,24,5,1605
13589,117,1,147
13590,88,4,1116
13591,2,3,1117
13592,143,3,205
13593,46,5,2037
13599,22,10,2833
13600,250,1,219
13601,149,1,373
13602,2,1,428
13606,181,2,250
13610,48,5,776
13611,27,3,1171
13614,27,3,1097
13615,256,1,417
13617,51,2,365
13618,111,1,177
13621,54,1,213
13623,148,4,551
13626,190,1,257
13627,17,4,1334
13629,1,9,6255
13630,13,6,1799
13631,37,11,3070
13632,111,3,814
13634,24,4,1372
13635,5,1,1071
13636,60,4,646
13637,125,2,684
13639,12,1,1033
13642,153,1,354
13643,36,2,259
13644,11,2,1398
13645,58,1,252
13647,9,3,1275
13649,194,2,346
13650,4,5,1538
13652,194,2,638
13654,83,4,1714
13655,52,2,933
13656,102,2,379
13657,139,1,152
13658,23,3,2096
13659,143,2,1573
13662,23,3,897
13663,117,1,189
13666,225,2,64
13667,87,1,305
13668,51,16,4934
13669,87,1,48
13670,13,1,349
13672,239,2,186
13675,89,2,486
13678,89,1,232
13680,275,2,2391
13681,6,2,531
13682,125,1,59
13684,223,1,67
13686,120,1,72
13689,1,1,910
13692,151,2,871
13694,9,42,51527
13695,1,14,2207
13699,93,1,308
13700,30,8,1651
13703,256,1,99
13704,11,5,1289
13705,82,2,522
13706,240,1,330
13707,205,2,806
13708,209,1,296
13709,3,7,3618
13711,156,2,252
13712,184,1,228
13715,219,5,1079
13716,207,1,138
13717,66,4,956
13718,184,2,306
13719,143,2,338
13720,54,4,799
13722,69,3,2375
13723,155,1,199
13725,107,7,1865
13726,38,1,292
13728,45,5,797
13730,73,2,752
13731,157,2,610
13735,113,2,1409
13736,198,1,357
13737,138,1,339
13740,178,1,350
13741,9,3,668
13742,27,11,2791
13743,26,6,1065
13744,33,2,1156
13745,100,1,300
13747,311,1,79
13748,33,5,948
13750,78,4,1316
13751,226,1,296
13752,62,6,1186
13753,225,1,741
13754,89,2,282
13755,1,1,495
13756,31,8,2972
13758,139,5,2351
13759,9,1,560
13760,194,1,135
13761,117,1,491
13762,156,1,306
13763,1,1,1715
13764,8,3,1521
13767,18,33,13303
13769,30,8,2176
13771,2,4,2634
13772,34,2,686
13774,19,1,345
13777,15,27,13021
13778,41,1,178
13780,108,1,116
13781,188,1,127
13782,6,4,630
13784,32,9,2124
13786,305,1,230
13787,13,2,309
13791,65,2,1516
13792,4,2,195
13798,1,47,32260
13799,54,2,688
13800,247,1,558
13801,4,1,324
13802,76,3,4599
13803,193,1,277
13804,16,5,2283
13805,67,1,500
13806,1,1,256
13807,305,1,112
13808,3,3,1362
13819,239,3,1140
13821,82,2,385
13823,29,1,650
13824,73,4,1429
13826,114,1,189
13827,71,2,300
13831,25,5,1795
13833,97,1,384
13835,93,2,537
13837,149,2,271
13838,55,3,479
13841,190,1,85
13842,10,8,2803
13845,2,1,313
13846,180,2,663
13848,30,3,1255
13849,108,1,593
13850,67,1,1595
13851,33,3,2651
13854,3,22,7088
13856,106,3,388
13859,264,1,201
13860,24,1,405
13862,10,7,2089
13863,185,1,305
13865,74,3,383
13866,12,1,145
13867,12,2,592
13869,61,4,3105
13870,39,5,2179
13871,30,9,4612
13873,57,3,389
13874,296,1,540
13875,71,4,1424
13876,1,1,122
13877,24,1,117
13880,25,11,2501
13881,4,13,11621
13882,2,1,192
13883,156,4,1742
13884,27,4,540
13885,127,2,506
13886,9,1,243
13887,142,1,349
13888,57,2,605
13889,30,1,416
13890,45,2,501
13892,2,2,395
13893,235,1,821
13894,248,1,160
13895,4,3,1911
13898,263,1,155
13899,212,1,298
13900,121,3,741
13901,10,5,2867
13904,232,1,201
13908,17,4,2369
13911,82,8,2437
13917,129,1,65
13918,191,1,198
13922,289,1,172
13924,10,1,679
13925,30,4,678
13927,12,1,349
13928,44,2,225
13929,107,2,842
13930,74,1,210
13931,33,2,1237
13932,232,1,307
13933,47,2,608
13934,201,1,922
13936,117,1,376
13937,107,1,158
13939,46,2,390
13940,2,3,616
13941,27,4,3859
13946,17,3,561
13947,3,1,90
13948,298,1,102
13949,3,3,1212
13950,11,2,323
13951,114,3,674
13952,155,2,3251
13953,53,5,2604
13954,8,1,227
13955,92,2,323
13956,76,3,680
13959,17,3,598
13960,9,1,128
13962,183,1,117
13963,246,4,664
13967,83,1,80
13969,45,11,3911
13971,44,6,1985
13972,8,2,190
13973,225,1,264
13975,66,4,1497
13976,144,1,358
13979,11,1,869
13982,101,3,1230
13983,26,9,2063
13984,64,4,819
13985,9,8,3791
13988,10,4,3185
13989,3,2,1266
13990,151,1,311
13991,13,2,340
13993,2,8,3092
13994,5,4,1588
13995,53,3,871
13999,2,10,3177
14000,149,1,635
14001,170,2,1309
14002,72,2,529
14004,16,6,3769
14005,13,4,977
14006,53,3,962
14009,136,2,695
14012,215,1,328
14013,48,3,473
14014,15,1,505
14019,36,2,800
14020,26,1,331
14021,93,3,631
14022,163,1,440
14023,188,1,273
14024,59,2,327
14029,1,2,467
14030,27,7,1816
14031,5,16,14051
14032,25,7,2147
14034,95,2,473
14035,45,3,837
14036,222,1,626
14037,114,2,147
14038,16,3,1560
14040,32,10,2748
14041,204,1,141
14044,41,3,542
14045,47,4,1659
14046,222,1,155
14047,11,4,957
14048,243,1,409
14049,96,3,3285
14050,44,1,486
14051,6,17,10245
14053,62,2,260
14054,3,1,92
14055,44,1,725
14056,4,19,6169
14057,4,16,5578
14059,204,1,183
14060,17,16,5135
14062,9,11,9225
14064,51,4,1097
14066,204,1,152
14067,1,2,374
14068,258,1,265
14071,198,2,356
14075,199,1,307
14076,67,1,122
14077,16,4,366
14078,39,6,1049
14079,62,1,375
14081,240,2,934
14082,302,1,182
14083,64,7,548
14085,79,12,3248
14088,66,7,25507
14090,262,1,76
14092,5,11,3096
14096,5,7,12187
14099,3,9,2673
14100,75,1,194
14101,11,6,5976
14104,92,2,216
14105,177,1,1266
14107,34,6,2461
14108,39,1,291
14109,10,1,144
14110,4,8,4470
14111,33,3,295
14112,68,4,1900
14113,16,2,926
14114,211,2,386
14116,2,3,956
14117,81,1,90
14124,22,1,419
14125,16,1,1295
14127,60,3,709
14128,193,1,305
14129,33,3,726
14130,257,1,483
14132,25,6,1900
14133,67,3,605
14135,13,11,3514
14138,1,1,638
14141,11,2,489
14142,311,1,311
14143,71,1,115
14145,94,3,2851
14146,19,4,2965
14147,16,2,483
14148,171,1,157
14149,158,1,446
14150,297,1,306
14152,13,2,621
14154,177,2,1345
14155,204,1,118
14157,223,1,277
14159,19,8,3147
14161,153,3,1110
14162,111,2,289
14163,25,4,2445
14164,8,2,1631
14165,213,1,122
14167,103,3,402
14171,36,1,363
14173,157,1,114
14175,109,2,1206
14176,235,4,576
14177,24,4,559
14178,4,4,692
14180,29,22,4258
14184,4,1,452
14185,269,1,197
14188,9,5,1718
14189,34,11,3267
14191,18,8,2525
14193,5,2,853
14194,13,14,6976
14195,139,2,1012
14196,44,1,335
14198,24,3,528
14199,156,1,185
14201,18,6,627
14205,202,1,222
14206,177,1,328
14208,32,1,151
14209,59,5,1876
14210,43,6,1905
14211,18,7,1339
14212,27,1,1070
14214,94,3,899
14215,15,5,1343
14217,12,12,1469
14220,185,2,632
14221,18,8,3088
14222,115,1,683
14223,30,3,991
14224,48,4,1050
14226,8,3,1895
14227,23,9,3031
14229,229,2,762
14231,121,3,925
14232,53,4,1573
14233,149,3,959
14235,13,5,3144
14236,18,2,490
14237,311,1,161
14238,264,1,146
14239,9,10,2219
14240,163,1,226
14241,121,1,213
14242,172,2,280
14243,33,8,2306
14245,157,2,1693
14246,48,3,1474
14247,216,1,136
14248,256,1,302
14250,27,1,1228
14256,198,2,969
14257,2,5,3099
14258,27,8,11298
14259,79,1,120
14261,16,1,943
14262,22,4,1379
14264,92,2,334
14267,100,3,1516
14270,269,1,492
14271,163,1,112
14272,11,2,438
14273,74,3,450
14276,36,3,1119
14280,134,1,134
14282,19,10,2796
14284,24,1,252
14285,13,2,1253
14286,180,1,2050
14287,136,2,83
14288,151,1,426
14289,72,5,832
14290,5,3,1799
14291,4,8,2966
14292,26,5,3144
14293,85,3,739
14297,212,1,232
14298,10,41,44237
14299,16,6,2843
14301,55,1,640
14304,160,1,383
14305,9,3,1859
14306,23,1,1702
14307,26,6,2995
14309,31,7,1633
14311,180,1,310
14312,29,5,1047
14314,44,1,120
14315,67,5,1550
14317,2,1,508
14320,144,2,477
14321,11,4,1230
14323,52,2,605
14326,180,1,183
14327,101,1,311
14329,46,4,3485
14331,62,2,462
14332,4,2,585
14333,5,1,415
14334,31,7,2328
14336,136,3,1114
14338,99,2,588
14339,180,1,309
14340,156,1,134
14341,68,6,1139
14342,75,2,419
14344,65,8,889
14346,58,2,1021
14348,198,1,409
14350,212,1,282
14351,102,1,51
14352,95,4,1079
14353,153,1,90
14355,303,1,174
14356,17,2,701
14359,25,1,483
14360,5,3,1917
14364,46,8,3717
14367,13,12,6949
14368,257,1,155
14371,233,1,100
14373,296,1,76
14375,123,1,257
14377,129,2,617
14379,233,1,111
14383,2,2,917
14386,234,1,142
14387,12,2,929
14388,29,6,2277
14389,3,2,1043
14390,82,4,1592
14393,156,1,68
14395,16,7,2638
14396,3,2,488
14397,17,11,1089
14400,87,1,574
14401,18,11,3384
14403,68,4,1475
14404,46,5,1347
14406,57,1,156
14407,45,6,2157
14408,32,6,2298
14409,9,6,2059
14410,30,9,1105
14411,248,1,1063
14412,10,1,462
14413,300,1,122
14414,29,7,1497
14415,36,9,3801
14418,46,1,150
14419,11,3,541
14420,37,1,387
14421,149,1,455
14422,8,3,2318
14423,156,1,265
14426,78,6,2885
14427,1,1,321
14428,17,3,534
14431,240,1,470
14432,6,2,561
14434,3,2,410
14436,36,1,89
14437,303,1,63
14438,244,1,131
14440,10,3,1558
14441,32,2,697
14443,76,3,991
14446,18,2,685
14447,134,2,601
14448,302,1,102
14449,2,3,714
14450,118,3,483
14451,132,1,360
14452,31,1,127
14453,128,1,119
14456,11,5,1839
14457,248,1,113
14459,93,1,1837
14460,48,3,434
14461,86,3,2103
14462,4,11,2004
14463,36,3,529
14465,184,3,1058
14466,11,6,1785
14467,250,1,131
14470,225,1,297
14472,41,8,1936
14473,12,2,234
14475,9,3,925
14476,195,1,215
14477,122,2,523
14479,191,2,316
14481,102,2,636
14482,37,2,466
14483,219,1,137
14487,20,4,847
14488,5,1,1064
14489,145,1,463
14491,113,2,340
14493,93,1,611
14495,59,1,40
14496,249,2,538
14497,247,1,475
14498,54,4,1281
14499,71,2,371
14500,26,3,356
14501,121,2,251
14502,6,8,1644
14503,8,2,1284
14504,181,3,542
14505,47,6,4255
14506,4,4,1515
14507,39,4,924
14508,27,1,137
14511,3,3,648
14512,125,2,275
14513,38,3,455
14514,139,2,403
14515,4,3,1349
14517,79,1,252
14518,2,1,174
14520,228,1,165
14522,9,3,831
14523,46,1,241
14524,9,8,1755
14525,38,7,2926
14527,2,44,6003
14529,15,2,358
14530,31,5,2546
14532,174,4,932
14533,2,5,1773
14534,3,15,3781
14535,65,2,1653
14536,197,1,171
14538,2,2,388
14540,13,2,681
14541,106,7,1315
14542,123,1,103
14543,11,14,3301
14544,299,1,1121
14546,15,3,1602
14548,88,2,652
14549,249,1,289
14551,142,1,125
14552,89,1,165
14553,156,2,312
14555,240,1,197
14557,23,1,788
14560,1,16,1829
14561,13,3,1080
14562,16,10,3029
14565,33,4,3099
14567,68,1,800
14570,218,2,218
14572,48,5,2089
14573,117,9,1653
14576,310,1,35
14577,101,3,646
14583,82,4,787
14584,107,4,1042
14586,214,1,237
14587,122,8,1473
14589,309,1,39
14591,151,1,250
14592,2,1,264
14593,136,2,339
