CustomerID,Recency,Frequency,Monetary,y_HighValueChurn
12346,263,1,77183,1
12747,4,9,3444,0
12748,1,144,20082,0
12749,68,3,2755,0
12820,12,2,388,0
12821,152,1,92,0
12822,8,2,948,1
12823,12,5,1759,1
12826,9,5,1052,0
12828,3,4,661,0
12829,274,2,293,0
12830,29,5,6414,0
12831,200,1,215,0
12832,36,1,267,0
12833,83,1,417,1
12834,220,1,312,0
12836,75,3,2112,0
12837,111,1,134,0
12838,311,1,390,0
12839,9,10,3376,0
12840,81,4,2726,1
12841,3,19,3268,0
12842,8,2,1119,1
12843,3,8,1702,1
12844,68,1,174,0
12845,205,4,354,1
12849,206,1,704,0
12851,34,1,135,0
12852,232,1,311,0
12853,72,6,1957,1
12854,16,3,1324,1
12855,310,1,38,0
12856,1,1,393,0
12857,148,2,1106,1
12864,76,1,147,0
12867,34,6,3025,0
12868,123,6,1607,1
12871,22,2,380,1
12872,264,2,600,1
12873,220,1,374,1
12875,81,2,343,1
12877,16,10,1160,0
12878,174,2,855,1
12879,19,2,507,0
12881,213,1,298,0
12883,27,1,291,0
12884,26,1,309,0
12885,1,3,1175,1
12886,5,2,1378,1
12888,152,2,354,1
12891,123,3,331,0
12895,24,1,267,0
12897,142,2,216,0
12901,19,20,13159,0
12902,202,1,138,0
12904,110,1,244,0
12906,16,2,1936,0
12908,114,2,750,1
12909,25,4,1857,0
12910,2,6,2616,0
12913,220,3,866,0
12915,86,2,363,1
12916,76,4,3006,1
12917,66,1,594,1
12919,54,3,441,0
12921,22,27,11396,0
12922,99,1,405,1
12923,2,1,177,0
12924,26,4,933,1
12925,12,1,368,0
12928,85,3,1136,0
12929,249,1,117,0
12930,16,2,415,1
12931,5,12,34440,0
12933,109,2,357,0
12935,47,4,1535,0
12936,16,1,798,0
12937,9,3,826,0
12939,2,8,11581,1
12940,25,1,361,0
12942,69,3,683,1
12944,292,1,287,0
12945,226,1,463,1
12947,81,6,1604,1
12948,43,4,1424,0
12949,52,7,3449,0
12951,111,5,751,0
12952,16,1,731,0
12955,30,6,1843,0
12956,244,1,108,0
12957,9,6,2640,0
12962,51,1,170,0
12963,22,2,619,0
12965,27,1,771,1
12967,296,2,1660,1
12968,50,1,136,0
12970,260,2,23,0
12971,3,69,8988,0
12974,135,1,144,0
12976,149,1,738,1
12977,94,1,39,0
12980,95,9,7374,1
12981,71,1,187,0
12982,180,1,390,1
12987,11,2,558,1
12988,230,1,535,1
12989,4,11,5957,0
12990,123,2,263,0
12991,50,1,303,0
12993,58,3,372,0
12994,58,2,645,0
12995,23,1,211,0
12997,26,3,916,0
12999,134,3,455,1
13000,44,3,534,1
13001,96,11,8615,0
13002,256,1,121,0
13003,43,3,149,0
13004,1,15,4609,0
13005,111,2,513,1
13008,261,1,229,0
13011,310,1,50,0
13012,16,5,1205,0
13013,2,10,3902,0
13014,12,6,2421,0
13015,135,4,1763,0
13016,11,3,789,1
13018,2,22,6090,0
13021,8,6,1619,0
13023,2,2,689,1
13026,30,3,604,0
13027,51,6,6912,1
13029,76,2,773,0
13030,306,1,427,0
13032,25,1,496,0
13033,295,1,190,0
13034,307,1,165,0
13035,11,2,921,1
13037,76,3,881,1
13038,18,3,908,1
13043,211,1,516,1
13044,229,1,560,1
13045,37,1,305,0
13046,204,1,197,0
13047,65,8,2682,0
13048,51,3,1375,0
13049,2,2,656,1
13050,44,13,4509,0
13052,150,1,348,1
13055,16,3,1214,1
13058,89,1,47,0
13059,187,1,183,0
13060,191,1,307,0
13061,10,1,248,0
13062,129,1,347,1
13064,26,3,842,0
13065,311,1,205,0
13067,20,1,115,0
13068,257,1,165,0
13069,37,20,3874,0
13070,130,1,228,0
13072,204,1,177,0
13075,67,1,919,1
13077,228,3,577,0
13078,2,19,9172,0
13079,13,3,172,0
13080,117,1,58,0
13081,81,8,18870,0
13082,64,9,3613,1
13083,13,1,192,0
13085,95,2,416,1
13089,2,81,46757,0
13090,2,10,5814,0
13092,8,5,477,1
13093,213,8,7832,1
13094,18,11,1774,0
13095,8,1,74,0
13097,15,9,5479,0
13098,25,19,17349,0
13099,37,1,207,0
13101,172,1,101,0
13102,19,20,5292,0
13104,23,4,579,0
13106,71,1,76,0
13107,23,3,1407,0
13108,310,1,350,1
13109,95,1,369,0
13110,75,5,1042,0
13113,51,20,10787,0
13115,122,1,878,0
13116,76,1,501,1
13117,59,7,841,0
13118,146,3,799,0
13120,176,1,30,0
13121,207,1,283,0
13122,32,2,922,1
13124,27,3,3866,1
13126,10,6,1386,0
13127,15,1,259,0
13130,32,1,64,0
13131,9,2,772,0
13132,199,1,77,0
13133,211,2,109,0
13134,23,4,1793,1
13135,134,1,3096,1
13136,25,4,2148,0
13137,30,5,1931,0
13138,18,4,687,0
13139,10,4,3584,0
13140,46,3,423,1
13141,22,5,2388,1
13144,270,1,111,0
13145,29,3,499,0
13147,37,1,118,0
13148,71,10,2789,0
13149,44,3,1132,0
13151,233,1,1257,1
13155,17,3,882,0
13157,79,3,873,0
13158,32,4,1201,1
13159,44,2,851,0
13161,251,1,112,0
13162,60,4,1688,1
13165,289,1,354,0
13166,221,1,417,1
13167,5,3,659,0
13168,137,3,972,0
13169,1,2,712,1
13171,237,1,140,0
13173,305,1,165,0
13174,254,2,2108,0
13177,2,1,282,0
13178,11,9,5156,0
13183,24,7,3085,0
13184,68,9,1504,0
13185,205,1,71,0
13186,31,2,1301,0
13187,275,1,236,0
13189,53,1,127,0
13192,33,2,911,1
13194,73,1,60,0
13196,22,2,1587,0
13198,58,5,3009,0
13199,2,24,5270,0
13200,12,2,627,0
13203,58,2,309,0
13207,88,1,197,0
13208,93,4,835,0
13209,66,5,4156,0
13210,31,1,353,1
13211,33,2,886,0
13213,66,4,963,0
13216,205,1,333,0
13217,60,3,534,1
13218,65,1,62,0
13220,16,4,819,1
13221,178,2,847,1
13223,138,2,163,0
13224,89,1,1212,0
13225,81,5,4299,0
13226,211,1,108,0
13227,139,1,257,0
13228,19,1,358,1
13229,163,1,161,0
13230,76,12,2234,0
13232,36,5,1048,0
13233,12,2,605,1
13235,150,1,1031,1
13236,44,1,439,0
13238,101,2,318,0
13239,199,1,329,0
13240,34,4,663,1
13242,50,3,270,0
13243,141,1,600,1
13244,30,1,121,0
13246,114,5,1861,0
13247,20,1,305,0
13248,62,2,465,1
13249,30,3,711,1
13253,94,2,1030,1
13255,311,1,225,0
13258,143,1,224,0
13261,206,2,944,1
13262,201,1,200,0
13263,4,26,5774,0
13265,26,4,1802,0
13266,13,9,2841,0
13267,30,15,3119,0
13268,22,7,2468,0
13269,4,11,3917,0
13270,304,1,590,1
13272,27,1,141,0
13273,51,1,139,0
13276,1,2,590,1
13277,54,2,125,0
13279,16,1,137,0
13280,60,3,814,1
13282,100,2,773,0
13283,123,1,25,0
13284,268,1,201,0
13285,99,3,1970,0
13291,93,1,361,1
13292,222,1,249,0
13294,127,2,873,1
13295,297,1,201,0
13296,75,1,87,0
13297,5,1,1315,0
13299,206,1,142,0
13300,107,1,371,1
13301,41,4,618,1
13302,93,1,63,0
13304,289,1,300,0
13305,30,8,1471,0
13307,58,1,15,0
13308,141,1,815,0
13309,26,3,928,0
13310,144,2,817,0
13311,88,1,490,0
13313,79,3,918,0
13314,1,2,589,0
13316,17,3,4463,0
13317,4,6,2273,1
13319,4,21,8248,0
13320,16,4,1548,1
13321,10,2,567,1
13323,22,1,120,0
13324,27,9,6437,0
13325,19,1,675,1
13327,50,7,2738,0
13328,254,1,1308,1
13329,304,1,304,0
13330,30,3,1140,1
13334,20,3,3536,1
13336,15,1,795,1
13338,95,1,487,1
13339,138,1,860,1
13340,43,5,9229,0
13341,198,1,775,1
13343,115,1,353,1
13344,5,3,2543,1
13345,225,1,389,1
13347,8,1,341,1
13348,2,1,233,0
13350,17,1,646,0
13351,4,1,373,1
13354,9,1,743,1
13355,60,1,674,1
13356,18,1,768,1
13357,195,1,610,1
13358,206,1,439,1
13359,1,1,439,1
13362,183,2,1581,0
13364,9,1,135,0
13365,155,1,700,0
13368,194,2,623,1
13369,303,1,308,0
13370,309,1,754,1
13372,27,1,378,1
13373,96,2,2055,0
13375,26,1,778,1
13376,37,3,1019,1
13379,6,2,435,0
13381,27,5,2982,0
13382,218,1,223,0
13384,11,5,3131,0
13385,267,1,534,1
13388,69,2,677,1
13389,12,2,580,0
13390,12,1,544,1
13391,141,1,59,0
13394,16,6,1846,0
13395,123,1,307,0
13396,257,1,387,0
13397,10,5,1544,1
13398,130,1,457,1
13402,65,2,621,1
13404,150,1,217,0
13405,12,3,572,1
13408,4,48,21376,0
13410,12,4,728,0
13411,45,1,213,0
13414,71,3,1390,1
13416,19,1,275,0
13417,143,1,236,0
13418,22,16,5068,0
13419,1,1,221,0
13420,87,2,159,0
13421,228,1,825,0
13422,2,1,2626,1
13425,46,3,1624,1
13426,2,7,2708,0
13427,58,2,464,0
13429,13,1,330,0
13430,24,1,336,0
13431,5,2,1269,1
13434,12,2,534,1
13435,13,4,1973,0
13437,37,4,2173,0
13439,193,1,283,0
13441,29,1,296,0
13448,18,5,2489,0
13450,27,5,1727,0
13451,64,4,2463,0
13452,197,2,590,1
13453,103,2,357,1
13455,304,1,692,0
13456,1,4,1309,0
13458,3,11,8176,0
13461,76,2,884,0
13462,190,1,151,0
13466,122,1,307,0
13468,3,31,4977,0
13470,37,2,165,0
13473,270,1,241,0
13474,174,1,229,0
13475,129,4,1431,1
13476,116,2,1238,1
13477,76,4,899,0
13479,138,2,301,0
13481,46,4,1361,0
13482,170,1,184,0
13483,3,1,140,0
13484,179,1,313,0
13485,171,1,454,1
13486,16,3,1122,1
13487,151,2,408,0
13488,10,11,7367,0
13489,43,4,449,1
13491,85,9,1088,0
13494,249,1,316,0
13495,170,3,1072,0
13496,297,1,501,0
13497,220,2,348,1
13499,11,3,613,0
13500,60,1,326,0
13502,212,2,189,0
13503,9,1,216,0
13504,2,1,295,0
13506,254,2,458,1
13507,36,3,2022,0
13508,181,1,111,0
13509,37,5,705,0
13510,33,2,897,0
13512,198,1,251,0
13513,64,1,205,0
13514,11,1,152,0
13515,10,4,891,1
13516,10,2,620,0
13517,44,2,1612,0
13518,23,1,659,1
13519,16,1,122,0
13523,137,3,2369,0
13524,19,4,483,0
13525,186,1,282,0
13527,27,6,1861,0
13529,16,2,307,0
13531,143,2,483,1
13533,120,3,270,0
13534,45,21,4371,0
13536,13,1,455,0
13538,32,6,990,0
13539,23,3,631,1
13544,178,1,122,0
13546,138,1,188,0
13548,34,2,682,1
13549,2,6,832,0
13551,257,1,91,0
13552,4,12,3740,1
13555,11,4,4149,1
13557,218,1,240,0
13558,6,1,202,0
13561,153,1,141,0
13562,19,3,1799,1
13563,22,2,777,1
13564,82,3,1749,1
13565,272,1,110,0
13566,20,1,585,0
13568,111,1,192,0
13569,305,1,118,0
13570,181,1,239,0
13571,6,8,1289,0
13572,143,1,1384,1
13573,191,1,31,0
13575,8,3,477,0
13576,9,14,5343,0
13577,30,3,1193,0
13579,307,1,164,0
13581,247,1,118,0
13583,93,1,781,1
13584,244,1,142,0
13587,1,1,712,1
13588,24,5,1605,0
13589,117,1,147,0
13590,88,4,1116,0
13591,2,3,1117,1
13592,143,3,205,0
13593,46,5,2037,1
13599,22,10,2833,0
13600,250,1,219,0
13601,149,1,373,0
13602,2,1,428,1
13606,181,2,250,0
13610,48,5,776,0
13611,27,3,1171,1
13614,27,3,1097,0
13615,256,1,417,1
13617,51,2,365,0
13618,111,1,177,0
13621,54,1,213,0
13623,148,4,551,0
13626,190,1,257,0
13627,17,4,1334,0
13629,1,9,6255,0
13630,13,6,1799,0
13631,37,11,3070,1
13632,111,3,814,0
13634,24,4,1372,0
13635,5,1,1071,1
13636,60,4,646,0
13637,125,2,684,0
13639,12,1,1033,1
13642,153,1,354,1
13643,36,2,259,0
13644,11,2,1398,0
13645,58,1,252,0
13647,9,3,1275,0
13649,194,2,346,1
13650,4,5,1538,0
13652,194,2,638,0
13654,83,4,1714,0
13655,52,2,933,1
13656,102,2,379,1
13657,139,1,152,0
13658,23,3,2096,0
13659,143,2,1573,1
13662,23,3,897,1
13663,117,1,189,0
13666,225,2,64,0
13667,87,1,305,0
13668,51,16,4934,0
13669,87,1,48,0
13670,13,1,349,1
13672,239,2,186,0
13675,89,2,486,1
13678,89,1,232,0
13680,275,2,2391,0
13681,6,2,531,0
13682,125,1,59,0
13684,223,1,67,0
13686,120,1,72,0
13689,1,1,910,1
13692,151,2,871,0
13694,9,42,51527,0
13695,1,14,2207,0
13699,93,1,308,0
13700,30,8,1651,0
13703,256,1,99,0
13704,11,5,1289,0
13705,82,2,522,0
13706,240,1,330,0
13707,205,2,806,1
13708,209,1,296,0
13709,3,7,3618,0
13711,156,2,252,0
13712,184,1,228,0
13715,219,5,1079,1
13716,207,1,138,0
13717,66,4,956,0
13718,184,2,306,0
13719,143,2,338,0
13720,54,4,799,1
13722,69,3,2375,1
13723,155,1,199,0
13725,107,7,1865,0
13726,38,1,292,0
13728,45,5,797,0
13730,73,2,752,1
13731,157,2,610,1
13735,113,2,1409,0
13736,198,1,357,0
13737,138,1,339,1
13740,178,1,350,1
13741,9,3,668,1
13742,27,11,2791,0
13743,26,6,1065,0
13744,33,2,1156,1
13745,100,1,300,0
13747,311,1,79,0
13748,33,5,948,1
13750,78,4,1316,0
13751,226,1,296,0
13752,62,6,1186,1
13753,225,1,741,1
13754,89,2,282,0
13755,1,1,495,0
13756,31,8,2972,0
13758,139,5,2351,0
13759,9,1,560,0
13760,194,1,135,0
13761,117,1,491,0
13762,156,1,306,0
13763,1,1,1715,1
13764,8,3,1521,1
13767,18,33,13303,0
13769,30,8,2176,0
13771,2,4,2634,1
13772,34,2,686,0
13774,19,1,345,1
13777,15,27,13021,0
13778,41,1,178,0
13780,108,1,116,0
13781,188,1,127,0
13782,6,4,630,0
13784,32,9,2124,0
13786,305,1,230,0
13787,13,2,309,0
13791,65,2,1516,1
13792,4,2,195,0
13798,1,47,32260,0
13799,54,2,688,1
13800,247,1,558,1
13801,4,1,324,0
13802,76,3,4599,1
13803,193,1,277,0
13804,16,5,2283,0
13805,67,1,500,0
13806,1,1,256,0
13807,305,1,112,0
13808,3,3,1362,0
13819,239,3,1140,1
13821,82,2,385,1
13823,29,1,650,0
13824,73,4,1429,0
13826,114,1,189,0
13827,71,2,300,0
13831,25,5,1795,0
13833,97,1,384,1
13835,93,2,537,0
13837,149,2,271,0
13838,55,3,479,0
13841,190,1,85,0
13842,10,8,2803,0
13845,2,1,313,0
13846,180,2,663,0
13848,30,3,1255,1
13849,108,1,593,0
13850,67,1,1595,1
13851,33,3,2651,1
13854,3,22,7088,0
13856,106,3,388,1
13859,264,1,201,0
13860,24,1,405,0
13862,10,7,2089,0
13863,185,1,305,0
13865,74,3,383,0
13866,12,1,145,0
13867,12,2,592,0
13869,61,4,3105,1
13870,39,5,2179,0
13871,30,9,4612,0
13873,57,3,389,1
13874,296,1,540,1
13875,71,4,1424,0
13876,1,1,122,0
13877,24,1,117,0
13880,25,11,2501,0
13881,4,13,11621,0
13882,2,1,192,0
13883,156,4,1742,0
13884,27,4,540,0
13885,127,2,506,1
13886,9,1,243,0
13887,142,1,349,1
13888,57,2,605,1
13889,30,1,416,1
13890,45,2,501,0
13892,2,2,395,0
13893,235,1,821,1
13894,248,1,160,0
13895,4,3,1911,0
13898,263,1,155,0
13899,212,1,298,0
13900,121,3,741,1
13901,10,5,2867,1
13904,232,1,201,0
13908,17,4,2369,1
13911,82,8,2437,0
13917,129,1,65,0
13918,191,1,198,0
13922,289,1,172,0
13924,10,1,679,0
13925,30,4,678,1
13927,12,1,349,1
13928,44,2,225,0
13929,107,2,842,1
13930,74,1,210,0
13931,33,2,1237,1
13932,232,1,307,0
13933,47,2,608,1
13934,201,1,922,1
13936,117,1,376,1
13937,107,1,158,0
13939,46,2,390,0
13940,2,3,616,0
13941,27,4,3859,0
13946,17,3,561,1
13947,3,1,90,0
13948,298,1,102,0
13949,3,3,1212,0
13950,11,2,323,0
13951,114,3,674,1
13952,155,2,3251,1
13953,53,5,2604,0
13954,8,1,227,0
13955,92,2,323,0
13956,76,3,680,0
13959,17,3,598,1
13960,9,1,128,0
13962,183,1,117,0
13963,246,4,664,1
13967,83,1,80,0
13969,45,11,3911,0
13971,44,6,1985,0
13972,8,2,190,0
13973,225,1,264,0
13975,66,4,1497,0
13976,144,1,358,1
13979,11,1,869,1
13982,101,3,1230,0
13983,26,9,2063,0
13984,64,4,819,0
13985,9,8,3791,0
13988,10,4,3185,0
13989,3,2,1266,1
13990,151,1,311,0
13991,13,2,340,0
13993,2,8,3092,0
13994,5,4,1588,0
13995,53,3,871,0
13999,2,10,3177,0
14000,149,1,635,1
14001,170,2,1309,0
14002,72,2,529,1
14004,16,6,3769,0
14005,13,4,977,0
14006,53,3,962,1
14009,136,2,695,1
14012,215,1,328,0
14013,48,3,473,1
14014,15,1,505,1
14019,36,2,800,0
14020,26,1,331,0
14021,93,3,631,1
14022,163,1,440,1
14023,188,1,273,0
14024,59,2,327,0
14029,1,2,467,1
14030,27,7,1816,0
14031,5,16,14051,0
14032,25,7,2147,0
14034,95,2,473,0
14035,45,3,837,0
14036,222,1,626,1
14037,114,2,147,0
14038,16,3,1560,1
14040,32,10,2748,0
14041,204,1,141,0
14044,41,3,542,0
14045,47,4,1659,1
14046,222,1,155,0
14047,11,4,957,0
14048,243,1,409,1
14049,96,3,3285,0
14050,44,1,486,0
14051,6,17,10245,0
14053,62,2,260,0
14054,3,1,92,0
14055,44,1,725,1
14056,4,19,6169,0
14057,4,16,5578,0
14059,204,1,183,0
14060,17,16,5135,0
14062,9,11,9225,0
14064,51,4,1097,0
14066,204,1,152,0
14067,1,2,374,1
14068,258,1,265,0
14071,198,2,356,0
14075,199,1,307,0
14076,67,1,122,0
14077,16,4,366,0
14078,39,6,1049,1
14079,62,1,375,1
14081,240,2,934,1
14082,302,1,182,0
14083,64,7,548,0
14085,79,12,3248,0
14088,66,7,25507,0
14090,262,1,76,0
14092,5,11,3096,0
14096,5,7,12187,0
14099,3,9,2673,0
14100,75,1,194,0
14101,11,6,5976,1
14104,92,2,216,0
14105,177,1,1266,1
14107,34,6,2461,0
14108,39,1,291,0
14109,10,1,144,0
14110,4,8,4470,0
14111,33,3,295,0
14112,68,4,1900,0
14113,16,2,926,0
14114,211,2,386,1
14116,2,3,956,0
14117,81,1,90,0
14124,22,1,419,1
14125,16,1,1295,0
14127,60,3,709,1
14128,193,1,305,0
14129,33,3,726,0
14130,257,1,483,1
14132,25,6,1900,0
14133,67,3,605,1
14135,13,11,3514,0
14138,1,1,638,0
14141,11,2,489,0
14142,311,1,311,0
14143,71,1,115,0
14145,94,3,2851,0
14146,19,4,2965,0
14147,16,2,483,1
14148,171,1,157,0
14149,158,1,446,1
14150,297,1,306,0
14152,13,2,621,1
14154,177,2,1345,1
14155,204,1,118,0
14157,223,1,277,0
14159,19,8,3147,0
14161,153,3,1110,1
14162,111,2,289,0
14163,25,4,2445,1
14164,8,2,1631,1
14165,213,1,122,0
14167,103,3,402,0
14171,36,1,363,1
14173,157,1,114,0
14175,109,2,1206,0
14176,235,4,576,1
14177,24,4,559,1
14178,4,4,692,0
14180,29,22,4258,0
14184,4,1,452,1
14185,269,1,197,0
14188,9,5,1718,0
14189,34,11,3267,0
14191,18,8,2525,0
14193,5,2,853,1
14194,13,14,6976,0
14195,139,2,1012,1
14196,44,1,335,1
14198,24,3,528,0
14199,156,1,185,0
14201,18,6,627,0
14205,202,1,222,0
14206,177,1,328,0
14208,32,1,151,0
14209,59,5,1876,0
14210,43,6,1905,1
14211,18,7,1339,0
14212,27,1,1070,1
14214,94,3,899,0
14215,15,5,1343,0
14217,12,12,1469,0
14220,185,2,632,1
14221,18,8,3088,0
14222,115,1,683,1
14223,30,3,991,1
14224,48,4,1050,1
14226,8,3,1895,0
14227,23,9,3031,0
14229,229,2,762,0
14231,121,3,925,1
14232,53,4,1573,0
14233,149,3,959,0
14235,13,5,3144,1
14236,18,2,490,1
14237,311,1,161,0
14238,264,1,146,0
14239,9,10,2219,0
14240,163,1,226,0
14241,121,1,213,0
14242,172,2,280,0
14243,33,8,2306,0
14245,157,2,1693,1
14246,48,3,1474,1
14247,216,1,136,0
14248,256,1,302,0
14250,27,1,1228,0
14256,198,2,969,1
14257,2,5,3099,1
14258,27,8,11298,0
14259,79,1,120,0
14261,16,1,943,0
14262,22,4,1379,0
14264,92,2,334,0
14267,100,3,1516,1
14270,269,1,492,1
14271,163,1,112,0
14272,11,2,438,1
14273,74,3,450,0
14276,36,3,1119,1
14280,134,1,134,0
14282,19,10,2796,0
14284,24,1,252,0
14285,13,2,1253,0
14286,180,1,2050,0
14287,136,2,83,0
14288,151,1,426,1
14289,72,5,832,0
14290,5,3,1799,0
14291,4,8,2966,0
14292,26,5,3144,0
14293,85,3,739,0
14297,212,1,232,0
14298,10,41,44237,0
14299,16,6,2843,0
14301,55,1,640,1
14304,160,1,383,1
14305,9,3,1859,1
14306,23,1,1702,0
14307,26,6,2995,1
14309,31,7,1633,0
14311,180,1,310,0
14312,29,5,1047,0
14314,44,1,120,0
14315,67,5,1550,0
14317,2,1,508,1
14320,144,2,477,1
14321,11,4,1230,0
14323,52,2,605,1
14326,180,1,183,0
14327,101,1,311,0
14329,46,4,3485,0
14331,62,2,462,1
14332,4,2,585,0
14333,5,1,415,1
14334,31,7,2328,0
14336,136,3,1114,0
14338,99,2,588,1
14339,180,1,309,0
14340,156,1,134,0
14341,68,6,1139,0
14342,75,2,419,0
14344,65,8,889,1
14346,58,2,1021,1
14348,198,1,409,1
14350,212,1,282,0
14351,102,1,51,0
14352,95,4,1079,1
14353,153,1,90,0
14355,303,1,174,0
14356,17,2,701,1
14359,25,1,483,0
14360,5,3,1917,0
14364,46,8,3717,1
14367,13,12,6949,0
14368,257,1,155,0
14371,233,1,100,0
14373,296,1,76,0
14375,123,1,257,0
14377,129,2,617,1
14379,233,1,111,0
14383,2,2,917,0
14386,234,1,142,0
14387,12,2,929,0
14388,29,6,2277,0
14389,3,2,1043,1
14390,82,4,1592,0
14393,156,1,68,0
14395,16,7,2638,0
14396,3,2,488,1
14397,17,11,1089,0
14400,87,1,574,1
14401,18,11,3384,0
14403,68,4,1475,1
14404,46,5,1347,0
14406,57,1,156,0
14407,45,6,2157,1
14408,32,6,2298,0
14409,9,6,2059,1
14410,30,9,1105,1
14411,248,1,1063,1
14412,10,1,462,0
14413,300,1,122,0
14414,29,7,1497,1
14415,36,9,3801,0
14418,46,1,150,0
14419,11,3,541,0
14420,37,1,387,1
14421,149,1,455,0
14422,8,3,2318,0
14423,156,1,265,0
14426,78,6,2885,0
14427,1,1,321,0
14428,17,3,534,0
14431,240,1,470,1
14432,6,2,561,0
14434,3,2,410,0
14436,36,1,89,0
14437,303,1,63,0
14438,244,1,131,0
14440,10,3,1558,0
14441,32,2,697,0
14443,76,3,991,0
14446,18,2,685,0
14447,134,2,601,0
14448,302,1,102,0
14449,2,3,714,0
14450,118,3,483,1
14451,132,1,360,0
14452,31,1,127,0
14453,128,1,119,0
14456,11,5,1839,0
14457,248,1,113,0
14459,93,1,1837,1
14460,48,3,434,1
14461,86,3,2103,1
14462,4,11,2004,1
14463,36,3,529,1
14465,184,3,1058,1
14466,11,6,1785,0
14467,250,1,131,0
14470,225,1,297,0
14472,41,8,1936,1
14473,12,2,234,0
14475,9,3,925,1
14476,195,1,215,0
14477,122,2,523,0
14479,191,2,316,0
14481,102,2,636,1
14482,37,2,466,0
14483,219,1,137,0
14487,20,4,847,0
14488,5,1,1064,1
14489,145,1,463,1
14491,113,2,340,1
14493,93,1,611,0
14495,59,1,40,0
14496,249,2,538,1
14497,247,1,475,1
14498,54,4,1281,0
14499,71,2,371,0
14500,26,3,356,1
14501,121,2,251,0
14502,6,8,1644,0
14503,8,2,1284,0
14504,181,3,542,0
14505,47,6,4255,0
14506,4,4,1515,0
14507,39,4,924,0
14508,27,1,137,0
14511,3,3,648,0
14512,125,2,275,0
14513,38,3,455,1
14514,139,2,403,0
14515,4,3,1349,0
14517,79,1,252,0
14518,2,1,174,0
14520,228,1,165,0
14522,9,3,831,0
14523,46,1,241,0
14524,9,8,1755,0
14525,38,7,2926,0
14527,2,44,6003,0
14529,15,2,358,0
14530,31,5,2546,0
14532,174,4,932,1
14533,2,5,1773,0
14534,3,15,3781,0
14535,65,2,1653,0
14536,197,1,171,0
14538,2,2,388,1
14540,13,2,681,0
14541,106,7,1315,0
14542,123,1,103,0
14543,11,14,3301,0
14544,299,1,1121,0
14546,15,3,1602,0
14548,88,2,652,1
14549,249,1,289,0
14551,142,1,125,0
14552,89,1,165,0
14553,156,2,312,0
14555,240,1,197,0
14557,23,1,788,1
14560,1,16,1829,0
14561,13,3,1080,1
14562,16,10,3029,0
14565,33,4,3099,1
14567,68,1,800,0
14570,218,2,218,0
14572,48,5,2089,0
14573,117,9,1653,1
14576,310,1,35,0
14577,101,3,646,0
14583,82,4,787,0
14584,107,4,1042,1
14586,214,1,237,0
14587,122,8,1473,0
14589,309,1,39,0
14591,151,1,250,0
14592,2,1,264,0
